filename	ATTRIBUTE_preparation_batch	ATTRIBUTE_City_Collection	ATTRIBUTE_State_Collection	ATTRIBUTE_Zip	ATTRIBUTE_Hypocrea.pachybasioides.positive	ATTRIBUTE_Ophiocordyceps.heteropoda.positive	ATTRIBUTE_tested.against.T..cruzi	ATTRIBUTE_Activity.against.T..cruzi	ATTRIBUTE_NOAA_ClimateRegions
P35_E11_no_yes_no_unknown.mzXML	1	Thomaston	GA	30286	no_Hypocrea	yes_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
P35_E9_no_yes_no_unknown.mzXML	1	Thomaston	GA	30286	no_Hypocrea	yes_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
P37_E3_no_no_no_unknown.mzXML	2	Byron	IL	61010	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P37_F11_no_yes_no_unknown.mzXML	2	Byron	IL	61010	no_Hypocrea	yes_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P35_G6_no_no_yes_no.mzXML	1	Blue Springs	MO	64015	no_Hypocrea	no_Ophiocordyceps	Yes_testingTc	no_activityTc	Central
P35_H11_no_no_no_unknown.mzXML	1	Blue Springs	MO	64014	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P35_H5_no_no_no_unknown.mzXML	1	Blue Springs	MO	64015	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P35_H6_no_no_no_unknown.mzXML	1	Blue Springs	MO	64015	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P35_H7_no_no_no_unknown.mzXML	1	Blue Springs	MO	64015	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P35_H8_no_no_no_unknown.mzXML	1	Blue Springs	MO	64015	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P35_H9_no_yes_no_unknown.mzXML	1	Blue Springs	MO	64015	no_Hypocrea	yes_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P36_A1_no_no_no_unknown_190919182402.mzXML	1	Blue Springs	MO	64015	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P36_A10_no_no_no_unknown.mzXML	1	Blue Springs	MO	64014	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P36_A11_no_no_no_unknown.mzXML	1	Blue Springs	MO	64015	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P36_A12_no_no_no_unknown.mzXML	1	Blue Springs	MO	64014	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P36_A2_no_no_no_unknown.mzXML	1	Blue Springs	MO	64015	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P36_A3_no_no_no_unknown.mzXML	1	Blue Springs	MO	64015	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P36_A4_no_no_no_unknown_190919185036.mzXML	1	Blue Springs	MO	64014	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P36_A5_no_yes_no_unknown.mzXML	1	Blue Springs	MO	64014	no_Hypocrea	yes_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P36_A6_no_no_no_unknown_190919190353.mzXML	1	Blue Springs	MO	64015	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P36_A9_no_no_no_unknown.mzXML	1	Blue Springs	MO	64014	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P36_B1_no_no_no_unknown.mzXML	1	Blue Springs	MO	64015	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P36_B2_no_no_no_unknown.mzXML	1	Blue Springs	MO	64014	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P36_B3_no_no_no_unknown.mzXML	1	Blue Springs	MO	64014	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P36_B4_no_no_no_unknown.mzXML	1	Blue Springs	MO	64014	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P36_B5_no_no_no_unknown.mzXML	1	Blue Springs	MO	64015	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P37_A2_no_no_no_unknown_190919181045.mzXML	2	Blue Springs	MO	64014	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P37_A3_no_yes_no_unknown_190919205016.mzXML	2	Blue Springs	MO	64014	no_Hypocrea	yes_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P37_E10_no_no_no_unknown.mzXML	2	Blue Springs	MO	64015	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P35_D5_no_yes_no_unknown.mzXML	1	Raleigh	NC	27613	no_Hypocrea	yes_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
P35_E1_no_no_no_unknown.mzXML	1	Rural Hall	NC	27045	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
P35_E2_no_yes_no_unknown.mzXML	1	Rural Hall	NC	27045	no_Hypocrea	yes_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
P35_E5_no_no_no_unknown.mzXML	1	Apex	NC	27502	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
P35_E6_yes_no_yes_no.mzXML	1	Durham	NC	27707	yes_Hypocrea	no_Ophiocordyceps	Yes_testingTc	no_activityTc	SouthEast
P37_A6_no_no_no_unknown.mzXML	2	Apex	NC	27502	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
P37_A9_no_no_no_unknown.mzXML	2	Durham	NC	27707	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
P37_B3_no_yes_no_unknown.mzXML	2	Wilmington	NC	28412	no_Hypocrea	yes_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
P37_G10_no_no_no_unknown.mzXML	2	Durham	NC	27707	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
P37_H10_no_no_no_unknown.mzXML	2	Wilmington	NC	28412	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
P38_A10_no_no_no_unknown_190919193029.mzXML	2	Wilmington	NC	28405	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
P38_A3_no_no_no_unknown.mzXML	2	Wilmington	NC	28412	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
P38_A4_no_no_no_unknown_190919203658.mzXML	2	Wilmington	NC	28412	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
P38_A5_no_yes_no_unknown.mzXML	2	Wilmington	NC	28405	no_Hypocrea	yes_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
P38_A6_no_no_no_unknown.mzXML	2	Wilmington	NC	28405	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
P38_A7_no_no_no_unknown_190919210333.mzXML	2	Wilmington	NC	28405	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
P38_A8_no_no_no_unknown.mzXML	2	Wilmington	NC	28405	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
P38_A9_no_no_no_unknown.mzXML	2	Wilmington	NC	28412	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	SouthEast
P35_H4_no_yes_no_unknown.mzXML	1	Edison	NJ	8817	no_Hypocrea	yes_Ophiocordyceps	no_testingTc	unknown_activityTc	NE
P37_B5_no_no_no_unknown.mzXML	2	Edison	NJ	8817	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	NE
P37_A10_no_no_no_unknown.mzXML	2	Pataskala	OH	43062	yes_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P37_A11_yes_no_no_unknown.mzXML	2	Pataskala	OH	43062	yes_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P37_F6_no_no_no_unknown.mzXML	2	Pataskala	OH	43062	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	Central
P35_A1_no_no_no_unknown.mzXML	1	Norman	OK	73071	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_A10_no_no_yes_no.mzXML	1	McLoud	OK	74851	no_Hypocrea	no_Ophiocordyceps	Yes_testingTc	no_activityTc	South
P35_A11_no_no_no_unknown.mzXML	1	McLoud	OK	74851	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_A12_no_no_no_unknown.mzXML	1	McLoud	OK	74851	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_A2_no_no_no_unknown.mzXML	1	Meeker	OK	74855	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_A3_no_no_no_unknown.mzXML	1	McLoud	OK	74857	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_A4_no_no_yes_no.mzXML	1	McLoud	OK	74851	no_Hypocrea	no_Ophiocordyceps	Yes_testingTc	no_activityTc	South
P35_A5_no_no_no_unknown.mzXML	1	McLoud	OK	74851	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_A6_no_no_no_unknown.mzXML	1	McLoud	OK	74851	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_A7_no_no_no_unknown_190919183719.mzXML	1	Norman	OK	73071	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_A8_no_no_no_unknown.mzXML	1	McLoud	OK	74851	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_A9_no_no_no_unknown.mzXML	1	McLoud	OK	74851	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_B1_no_no_no_unknown.mzXML	1	Newalla	OK	74857	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_B10_no_no_yes_no.mzXML	1	Newalla	OK	74857	no_Hypocrea	no_Ophiocordyceps	Yes_testingTc	no_activityTc	South
P35_B11_no_yes_yes_no.mzXML	1	Mustang	OK	73064	no_Hypocrea	yes_Ophiocordyceps	Yes_testingTc	no_activityTc	South
P35_B12_no_no_no_unknown_190919191710.mzXML	1	McLoud	OK	74851	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_B2_no_no_no_unknown.mzXML	1	Newalla	OK	74857	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_B3_no_no_no_unknown.mzXML	1	McLoud	OK	74851	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_B4_no_no_yes_no.mzXML	1	McLoud	OK	74851	no_Hypocrea	no_Ophiocordyceps	Yes_testingTc	no_activityTc	South
P35_B5_no_no_no_unknown.mzXML	1	Newalla	OK	74857	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_B6_no_no_no_unknown.mzXML	1	Choctaw	OK	73020	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_B7_no_no_no_unknown.mzXML	1	McLoud	OK	74851	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_B8_no_no_yes_no.mzXML	1	Newalla	OK	74857	no_Hypocrea	no_Ophiocordyceps	Yes_testingTc	no_activityTc	South
P35_B9_no_no_no_unknown.mzXML	1	Harrah	OK	73045	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_C1_no_no_no_unknown.mzXML	1	Meeker	OK	74855	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_C10_no_yes_yes_yes.mzXML	1	Harrah	OK	73045	no_Hypocrea	yes_Ophiocordyceps	Yes_testingTc	yes_activityTc	South
P35_C11_no_no_no_unknown.mzXML	1	Newalla	OK	74857	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_C12_no_no_no_unknown.mzXML	1	McLoud	OK	74851	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_C2_no_no_yes_no.mzXML	1	Harrah	OK	73045	no_Hypocrea	no_Ophiocordyceps	Yes_testingTc	no_activityTc	South
P35_C3_no_no_no_unknown.mzXML	1	Harrah	OK	73045	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_C4_no_no_no_unknown.mzXML	1	McLoud	OK	74851	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_C5_no_no_no_unknown.mzXML	1	Harrah	OK	73045	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_C6_no_no_no_unknown.mzXML	1	Newalla	OK	74857	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_C7_no_no_no_unknown.mzXML	1	Choctaw	OK	73020	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_C9_no_no_no_unknown.mzXML	1	Newalla	OK	74857	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_D1_no_no_no_unknown.mzXML	1	Newalla	OK	74857	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_D2_no_yes_no_unknown.mzXML	1	Broken Arrow	OK	74011	no_Hypocrea	yes_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_D8_no_yes_no_unknown.mzXML	1	Norman	OK	73071	no_Hypocrea	yes_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_D9_no_no_no_unknown.mzXML	1	Norman	OK	73071	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_E12_no_no_no_unknown.mzXML	1	Oklahoma City	OK	73109	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_E7_no_no_yes_no.mzXML	1	Norman	OK	73071	no_Hypocrea	no_Ophiocordyceps	Yes_testingTc	no_activityTc	South
P35_E8_no_no_no_unknown.mzXML	1	Oklahoma City	OK	73119	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_F1_no_no_no_unknown.mzXML	1	Oklahoma City	OK	73109	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_F11_no_no_no_unknown.mzXML	1	Oklahoma City	OK	73109	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_F12_no_no_no_unknown.mzXML	1	Oklahoma City	OK	73109	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_F2_no_no_no_unknown.mzXML	1	Midwest City	OK	73130	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_F3_no_no_no_unknown.mzXML	1	Oklahoma City	OK	73109	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_F4_no_no_no_unknown.mzXML	1	Oklahoma City	OK	73119	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_F5_no_no_no_unknown.mzXML	1	Midwest City	OK	73130	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_F6_no_yes_no_unknown.mzXML	1	Oklahoma City	OK	73109	no_Hypocrea	yes_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_F7_no_no_no_unknown.mzXML	1	Oklahoma City	OK	73109	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_F8_no_no_no_unknown.mzXML	1	Oklahoma City	OK	73119	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_F9_no_no_no_unknown.mzXML	1	Oklahoma City	OK	73119	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_G1_no_no_no_unknown.mzXML	1	Oklahoma City	OK	73109	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_G2_no_yes_no_unknown.mzXML	1	Oklahoma City	OK	73119	no_Hypocrea	yes_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_G3_no_no_no_unknown.mzXML	1	Oklahoma City	OK	73109	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_G7_no_no_no_unknown.mzXML	1	Oklahoma City	OK	73119	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P35_G8_no_no_no_unknown.mzXML	1	Oklahoma City	OK	73119	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P37_A7_no_no_no_unknown.mzXML	2	Norman	OK	73071	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P37_A8_no_no_no_unknown.mzXML	2	Norman	OK	73071	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P37_B2_no_no_no_unknown.mzXML	2	Norman	OK	73071	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P37_D10_no_no_no_unknown.mzXML	2	Oklahoma City	OK	73109	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P37_D11_no_no_no_unknown.mzXML	2	Oklahoma City	OK	73119	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P37_D12_no_no_no_unknown.mzXML	2	Oklahoma City	OK	73119	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P37_D8_no_yes_no_unknown.mzXML	2	Oklahoma City	OK	73119	no_Hypocrea	yes_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P37_D9_no_no_no_unknown.mzXML	2	Oklahoma City	OK	73119	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P37_E1_no_no_no_unknown.mzXML	2	Norman	OK	73071	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P37_E2_no_no_no_unknown.mzXML	2	Binger	OK	73009	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P37_E9_no_no_no_unknown.mzXML	2	Norman	OK	73071	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P37_F1_no_no_no_unknown.mzXML	2	Norman	OK	73071	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P37_F7_no_no_no_unknown.mzXML	2	Newalla	OK	74857	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P37_F8_no_no_no_unknown.mzXML	2	Newalla	OK	74857	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
P37_F9_no_no_no_unknown.mzXML	2	Norman	OK	73071	no_Hypocrea	no_Ophiocordyceps	no_testingTc	unknown_activityTc	South
